963,Grenada,Mississippi
964,Itawamba,Mississippi
965,Leake,Mississippi
966,Lincoln,Mississippi
967,Lowndes,Mississippi
968,Panola,Mississippi
969,Simpson,Mississippi
970,Tunica,Mississippi
971,Union,Mississippi
972,Washington,Mississippi
973,Bates,Missouri
974,Jasper,Missouri
975,Johnson,Missouri
976,Cascade,Montana
977,Ravalli,Montana
978,Strafford,New Hampshire
979,Lea,New Mexico
980,Steuben,New York
981,Buncombe,North Carolina
982,Catawba,North Carolina
983,Clermont,Ohio
984,Defiance,Ohio
985,Erie,Ohio
986,Licking,Ohio
987,Josephine,Oregon
988,Butler,Pennsylvania
989,Montour,Pennsylvania
990,Dillon,South Carolina
991,Edgefield,South Carolina
992,Greenwood,South Carolina
993,Jasper,South Carolina
994,Marlboro,South Carolina
995,Newberry,South Carolina
996,Carroll,Tennessee
997,Cocke,Tennessee
998,Fayette,Tennessee
999,Monroe,Tennessee
1000,Putnam,Tennessee
1001,Roane,Tennessee
1002,Scott,Tennessee
1003,Bastrop,Texas
1004,Castro,Texas
1005,Deaf Smith,Texas
1006,Midland,Texas
1007,Oldham,Texas
1008,Potter,Texas
1009,Franklin,Vermont
1010,Windham,Vermont
1011,Albemarle,Virginia
1012,Botetourt,Virginia
1013,Franklin,Virginia
1014,Isle of Wight,Virginia
1015,Mecklenburg,Virginia
1016,Suffolk city,Virginia
1017,Marshall,West Virginia
1018,Putnam,West Virginia
1019,Carbon,Wyoming
1020,Bradford,Florida
1021,Columbia,Florida
1022,DeSoto,Florida
1023,Flagler,Florida
1024,Barrow,Georgia
1025,Butts,Georgia
1026,Chattooga,Georgia
1027,Clinch,Georgia
1028,Coffee,Georgia
1029,Tattnall,Georgia
1030,Twiggs,Georgia
1031,Valley,Idaho
1032,Champaign,Illinois
1033,Jo Daviess,Illinois
1034,Livingston,Illinois
1035,Rock Island,Illinois
1036,Stephenson,Illinois
1037,Monroe,Indiana
1038,Morgan,Indiana
1039,Putnam,Indiana
1040,Ripley,Indiana
1041,Scott,Indiana
1042,Tipton,Indiana
1043,Cerro Gordo,Iowa
1044,Kossuth,Iowa
1045,Poweshiek,Iowa
1046,Scott,Iowa
1047,Sioux,Iowa
1048,Tama,Iowa
1049,Woodbury,Iowa
1050,Jackson,Kansas
1051,Mitchell,Kansas
1052,Allen,Kentucky
1053,Breathitt,Kentucky
1054,Hardin,Kentucky
1055,Jessamine,Kentucky
1056,Oldham,Kentucky
1057,Acadia,Louisiana
1058,Cecil,Maryland
1059,St. Mary's,Maryland
1060,Emmet,Michigan
1061,Gladwin,Michigan
1062,Grand Traverse,Michigan
1063,Roscommon,Michigan
1064,Le Sueur,Minnesota
1065,Chickasaw,Mississippi
1066,Montgomery,Mississippi
1067,Oktibbeha,Mississippi
1068,Pontotoc,Mississippi
1069,Sunflower,Mississippi
1070,Tate,Mississippi
1071,Webster,Mississippi
1072,Dawson,Nebraska
1073,Sullivan,New Hampshire
1074,Salem,New Jersey
1075,San Juan,New Mexico
1076,Cortland,New York
1077,Madison,New York
1078,St. Lawrence,New York
1079,Cherokee,North Carolina
1080,Cumberland,North Carolina
